sqrts_TeV,t_star,tstarstar,y,y_err,dsigma_dt,dsigma_dt_err
1.96000000,0.25800000,0.41149018,3.13750869,0.17246348,4.73000000,0.26000000
1.96000000,0.29800000,0.45648762,1.41950710,0.04775912,2.14000000,0.07200000
1.96000000,0.33800000,0.49981964,0.70312034,0.02454288,1.06000000,0.03700000
1.96000000,0.37800000,0.54173561,0.37411309,0.01459306,0.56400000,0.02200000
1.96000000,0.41800000,0.58242527,0.19766968,0.00928650,0.29800000,0.01400000
1.96000000,0.45800000,0.62203731,0.09419159,0.00550556,0.14200000,0.00830000
1.96000000,0.49800000,0.66069104,0.04948375,0.00338294,0.07460000,0.00510000
1.96000000,0.53800000,0.69848411,0.02527253,0.00238796,0.03810000,0.00360000
1.96000000,0.57800000,0.73549772,0.01459306,0.00198996,0.02200000,0.00300000
1.96000000,0.63900000,0.79059472,0.00689854,0.00086232,0.01040000,0.00130000
1.96000000,0.71900000,0.86067282,0.00789352,0.00112765,0.01190000,0.00170000
1.96000000,0.79900000,0.92859635,0.00615562,0.00099498,0.00928000,0.00150000
1.96000000,0.87900000,0.99463853,0.00742920,0.00112765,0.01120000,0.00170000
1.96000000,0.95900000,1.05901640,0.00537953,0.00099498,0.00811000,0.00150000
1.96000000,1.03900000,1.12190603,0.00382736,0.00086232,0.00577000,0.00130000
1.96000000,1.11900000,1.18345283,0.00380083,0.00086232,0.00573000,0.00130000
1.96000000,1.19900000,1.24377866,0.00188383,0.00112765,0.00284000,0.00170000
